Role	ID	ID_Qui	ID_Quoi	Descr	Info	CreatTS	ModifTS	ID_Groupe	
Role	612	308	768	F1-Tuche fille		2024-11-30T09:10:42		0
Role	378	226	669	F1		2024-11-30T09:10:41		0
Role	106	538	551	M1		2024-11-30T09:10:42		0
Role	3144	1797	1908	Musicien		2024-11-30T09:10:42		0
Role	3880	2538	1946	Musicien		2024-11-30T09:10:42		0
Role	3879	2538	1945	Musicien		2024-11-30T09:10:42		0
Role	3150	2049	3024	Musicien		2024-11-30T09:10:42		0
Role	3148	2049	3255	Musicien		2024-11-30T09:10:42		0
Role	3110	2141	2916	Musicien		2024-11-30T09:10:42		0
Role	537	448	736	M1		2024-11-30T09:10:41		0
Role	959	306	917	F1-l'écrivaine		2024-11-30T09:10:41	2023-11-26T18:51:29	0
Role	4115	1908	1878	Musicien		2024-11-30T09:10:42		0
Role	772	207	830	F1		2024-11-30T09:10:42		0
Role	4124	2222	2706	Musicien		2024-11-30T09:10:42		0
Role	4125	2609	3455	Musicien		2024-11-30T09:10:42		0
Role	1225	2257	3854	F2-Celimène		2024-11-30T09:10:42	2024-05-26T20:20:22	0
Role	4120	1993	3298	Musicien		2024-11-30T09:10:42		0
Role	154	61	570	F1		2024-11-30T09:10:41		0
Role	666	93	792	F1		2024-11-30T09:10:41		0
Role	1049	1712	1513			2024-11-30T09:10:41		0
Role	658	281	786	F1		2024-11-30T09:10:42	2024-05-26T21:08:09	0
Role	327	176	647	F1		2024-11-30T09:10:42		0
Role	880	530	880	M1		2024-11-30T09:10:42		0
Role	359	600	660	M2-Naomi acheteuse en autriche (pour antonio)		2024-11-30T09:10:41	2023-11-11T22:07:53	0
Role	1132	67	661	f1 (jeunesse à Mercury, vit à mineapolis)		2024-11-30T09:10:41		0
Role	1045	1710	1505	F2-la soeur		2024-11-30T09:10:42	2024-05-07T20:14:23	0
Role	987	510	935	M1		2024-11-30T09:10:41		0
Role	474	179	711	F1		2024-11-30T09:10:41		0
Role	687	59	800	F1		2024-11-30T09:10:42		0
Role	648	252	782	F1		2024-11-30T09:10:42		0
Role	207	393	597	M1		2024-11-30T09:10:41		0
Role	159	448	572	M1		2024-11-30T09:10:42		0
Role	4097	2601	3499	Musicien		2024-11-30T09:10:42		0
Role	566	210	750	F1		2024-11-30T09:10:41		0
Role	407	266	679	F2		2024-11-30T09:10:41		0
Role	5369	2239	3859	F2-Barny		2024-11-30T09:10:41	2023-08-26T13:36:21	0
Role	422	251	687	F2-le père winch		2024-11-30T09:10:41	2023-08-26T16:17:41	0
Role	3186	2316	2151	Musicien		2024-11-30T09:10:43		0
Role	5730	3174	4084			2025-01-11T12:51:11		0
Role	3561	2011	3503	Musicien		2024-11-30T09:10:43		0
Role	1163	244	762	F1-la soeur enceinte		2024-11-30T09:10:42	2023-08-24T18:25:25	0
Role	55	229	523	F2		2024-11-30T09:10:42		0
Role	115	141	556	F1		2024-11-30T09:10:42		0
Role	4105	2603	2015	Musicien		2024-11-30T09:10:42		0
Role	151	658	568	M1		2024-11-30T09:10:42		0
Role	1188	1779	586	F1-Mme de Sévigné		2024-11-30T09:10:42		0
Role	1023	388	882	M2		2024-11-30T09:10:41		0
Role	836	317	855	F2		2024-11-30T09:10:42	2023-08-26T20:15:06	0
Role	4060	2588	2112	Musicien		2024-11-30T09:10:42		0
Role	1105	422	1526			2024-11-30T09:10:42		0
Role	3076	1796	2074	Musicien		2024-11-30T09:10:42		0
Role	438	564	694	M1		2024-11-30T09:10:41		0
Role	439	517	695	M1		2024-11-30T09:10:41		0
Role	896	77	888	F1		2024-11-30T09:10:42		0
Role	3867	2059	2854	Musicien		2024-11-30T09:10:42		0
Role	3866	2534	3293	Musicien		2024-11-30T09:10:42		0
Role	373	422	666	M1		2024-11-30T09:10:42		0
Role	977	613	926	M2		2024-11-30T09:10:42		0
Role	664	571	791	M1		2024-11-30T09:10:41		0
Role	665	606	791	M2		2024-11-30T09:10:41		0
Role	467	432	706	M1		2024-11-30T09:10:42		0
Role	3142	1797	944	Musicien		2024-11-30T09:10:42		0
Role	3101	2291	2319	Musicien		2024-11-30T09:10:42		0
Role	671	428	794	M1		2024-11-30T09:10:41		0
Role	716	380	810	M1		2024-11-30T09:10:41		0
Role	3064	2278	3410	Artiste		2024-11-30T09:10:42	0	0
Role	1168	595	1540			2024-11-30T09:10:41		0
Role	1183	1774	534	M2-Jo		2024-11-30T09:10:43		0
Role	3892	2540	2133	Musicien		2024-11-30T09:10:42		0
Role	5463	285	3912			2024-11-30T09:10:43	2024-03-25T20:19:13	0
Role	4801	2699	3642	Ecrivain		2024-11-30T09:10:43		0
Role	3552	2445	2935	Musicien		2024-11-30T09:10:43		0
Role	247	328	613	F1-Label veuve		2024-11-30T09:10:42		0
Role	248	460	613	M1-Chili Palmer		2024-11-30T09:10:42		0
Role	5371	296	893			2024-11-30T09:10:42	2024-05-23T17:32:32	0
Role	711	86	809	F1		2024-11-30T09:10:42		0
Role	4082	2594	3171	Musicien		2024-11-30T09:10:42		0
Role	1205	2242	3850	F2-Madelon		2024-11-30T09:10:42		0
Role	974	380	924	M1		2024-11-30T09:10:42		0
